"Name","Nationality","Team","Position","Age","Age Ranking","Appearences","Appearences Ranking","Lineups","Lineups Ranking","Minutes","Minutes Ranking","Shots Total","Shots Total Ranking","Shots on Target","Shots on Target Ranking","Goals","Goals Ranking","Assists","Assists Ranking","Passes Total","Passes Total Ranking","Key Passes","Key Passes Ranking","Tackles","Tackles Ranking","Blocks","Blocks Ranking","Interceptions","Interceptions Ranking","Duels Total","Duels Total Ranking","Duels Won","Duels Won Ranking","Attempted Dribbles","Attempted Dribbles Ranking","Successful Dribbles","Successful Dribbles Ranking","Fouls Drawn","Fouls Drawn Ranking","Yellow Cards","Yellow Cards Ranking","Second Yellow Cards","Second Yellow Cards Ranking","Red Cards","Red Cards Ranking","Penalties Scored","Penalties Scored Ranking","Penalties Missed","Penalties Missed Ranking","Participations in Goals","Participations in Goals Ranking","Minutes per Goal","Minutes per Goal Ranking","Minutes per Participation","Minutes per Participation Ranking","Minutes per Assists","Minutes per Assists Ranking","Penalty Conversion","Penalty Conversion Ranking","On Target Conversion per Total Shots","On Target Conversion per Total Shots Ranking","Shots per Goal","Shots per Goal Ranking","Goal Conversion per Total Shots","Goal Conversion per Total Shots Ranking","Goal Conversion per Shots on Target","Goal Conversion per Shots on Target Ranking","Pencertage of Key Passes per Total Passes","Pencertage of Key Passes per Total Passes Ranking","Key Passes per Assist","Key Passes per Assist Ranking","Total Passes per Assist","Total Passes per Assist Ranking","Percentage of Successful Dribbles","Percentage of Successful Dribbles Ranking","Percentage of Duels Won","Percentage of Duels Won Ranking","Minutes per Yellow Card","Minutes per Yellow Card Ranking","Minutes per Red Card","Minutes per Red Card Ranking"
"Jordan","Brazil","Chapecoense-sc","Defender",25,526,15,365,14,255,1280,258,0,564,0,491,0,289,0,273,15,643,0,565,0,613,0,414,0,569,5,638,2,635,0,605,0,580,0,629,4,128,1,3,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,0,565,,273,,273,,605,40,566,256,369,1280,38
"Gustavo Apis","Brazil","Fluminense","Attacker",25,526,5,551,0,623,66,637,1,504,0,491,0,289,0,273,36,608,4,373,2,532,0,414,1,510,26,510,6,583,4,444,2,445,1,575,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,0,491,,289,0,289,,491,11.11111111111111,9,,273,,273,50,426,23.076923076923077,667,,515,,74
"Talles Costa","Brazil","Sao Paulo","Midfielder",22,773,7,516,2,532,173,578,0,564,0,491,0,289,0,273,111,506,2,449,0,613,0,414,1,510,22,531,6,583,1,541,1,506,4,453,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,1.8018018018018018,368,,273,,273,100,1,27.27272727272727,655,,515,,74
"Ramon","Brazil","Bahia","Midfielder",24,608,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Kevin","Brazil","Palmeiras","Midfielder",21,841,2,631,1,573,73,634,3,421,1,391,1,172,0,273,19,635,0,565,0,613,0,414,0,569,3,657,0,683,1,541,0,580,0,629,0,515,0,27,0,49,0,47,0,21,1,259,73,284,73,366,,273,,58,33.33333333333333,355,3,260,33.33333333333333,18,100,2,0,565,,273,,273,0,580,0,683,,515,,74
"Gustavo Nescau","Brazil","Cuiaba","Attacker",24,608,2,631,0,623,27,661,0,564,0,491,0,289,0,273,3,692,0,565,0,613,0,414,0,569,8,611,1,653,0,605,0,580,1,575,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,0,565,,273,,273,,605,12.5,680,,515,,74
"Vinicius Mello","Brazil","Internacional","Attacker",22,773,8,499,0,623,92,620,5,358,1,391,0,289,0,273,34,609,0,565,1,560,0,414,1,510,37,478,14,500,1,541,1,506,5,425,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,20,454,,289,0,289,0,289,0,565,,273,,273,100,1,37.83783783783784,592,,515,,74
"Dudu","Brazil","Juventude","Midfielder",22,773,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"João Vialle","Brazil","Atletico Paranaense","Defender",22,773,1,660,1,573,90,621,1,504,1,391,0,289,0,273,32,614,0,565,1,560,0,414,1,510,10,596,7,573,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,100,1,,289,0,289,0,289,0,565,,273,,273,,605,70,43,,515,,74
"Denival","Brazil","Sport Recife","Goalkeeper",24,608,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Rodriguinho","Brazil","Chapecoense-sc","Attacker",23,686,11,446,4,458,415,475,12,214,6,160,1,172,0,273,98,520,1,500,6,418,2,250,1,510,79,360,29,406,11,297,7,277,10,319,1,393,0,27,0,49,0,47,0,21,1,259,415,181,415,176,,273,,58,50,150,12,56,8.333333333333332,224,16.666666666666664,245,1.0204081632653061,455,,273,,273,63.63636363636363,277,36.708860759493675,608,415,219,,74
"Neto","Brazil","Atletico-MG","Midfielder",22,773,4,578,0,623,47,645,1,504,1,391,1,172,0,273,26,625,0,565,1,560,0,414,1,510,8,611,2,635,1,541,1,506,0,629,1,393,0,27,0,49,0,47,0,21,1,259,47,286,47,368,,273,,58,100,1,1,281,100,2,100,2,0,565,,273,,273,100,1,25,661,47,505,,74
"C. Sánchez","Uruguay","Santos","Midfielder",40,4,28,132,14,255,1422,232,24,80,11,84,5,32,0,273,725,169,26,80,19,227,0,414,7,319,113,289,71,243,10,320,6,306,40,68,4,128,0,27,0,49,3,4,0,21,5,70,284.4,224,284.4,239,,273,100,1,45.83333333333333,232,4.8,221,20.833333333333336,67,45.45454545454545,85,3.5862068965517238,226,,273,,273,60,322,62.83185840707964,81,355.5,276,,74
"L. Barcía","Uruguay","Sport Recife","Attacker",32,192,5,551,1,573,127,599,3,421,2,314,1,172,0,273,27,620,1,500,0,613,1,321,1,510,9,602,1,653,0,605,0,580,1,575,0,515,0,27,0,49,0,47,0,21,1,259,127,278,127,349,,273,,58,66.66666666666666,48,3,260,33.33333333333333,18,50,48,3.7037037037037033,199,,273,,273,,605,11.11111111111111,682,,515,,74
"Yan Sasse","Brazil","America Mineiro","Attacker",27,410,5,551,0,623,57,641,2,453,0,491,0,289,0,273,27,620,1,500,1,560,0,414,0,569,21,536,10,537,12,281,7,277,2,530,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,0,491,,289,0,289,,491,3.7037037037037033,199,,273,,273,58.333333333333336,342,47.61904761904761,396,,515,,74
"E. Isnaldo","Argentina","Bahia","Attacker",30,275,6,536,3,498,255,543,2,453,1,391,0,289,0,273,68,563,1,500,8,373,0,414,6,345,39,472,16,483,6,398,3,406,4,453,1,393,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,50,150,,289,0,289,0,289,1.4705882352941175,409,,273,,273,50,426,41.02564102564102,548,255,370,,74
"J. Ramírez","Colombia","Bahia","Midfielder",27,410,4,578,0,623,61,640,0,564,0,491,0,289,0,273,44,595,1,500,1,560,0,414,1,510,15,569,5,595,1,541,0,580,3,490,2,279,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,2.272727272727273,333,,273,,273,0,580,33.33333333333333,632,30.5,510,,74
"E. Velázquez","Uruguay","Santos","Defender",30,275,10,463,10,322,817,353,3,421,0,491,0,289,0,273,494,252,6,313,26,161,8,74,14,203,85,349,49,306,5,426,5,340,1,575,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,0,491,,289,0,289,,491,1.214574898785425,436,,273,,273,100,1,57.647058823529406,141,,515,,74
"L. Hernández","Uruguay","Cuiaba","Defender",32,192,8,499,3,498,320,512,0,564,0,491,0,289,0,273,133,487,4,373,4,461,0,414,10,265,22,531,11,527,2,496,2,445,3,490,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,3.007518796992481,263,,273,,273,100,1,50,326,,515,,74
"A. Galeano","Paraguay","Sao Paulo","Attacker",24,608,12,425,6,411,658,401,6,330,3,271,0,289,0,273,252,382,3,414,11,326,0,414,6,345,77,366,40,349,9,334,2,445,21,185,3,181,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,50,150,,289,0,289,0,289,1.1904761904761905,439,,273,,273,22.22222222222222,574,51.94805194805194,282,219.33333333333334,403,,74
"Ivonei","Brazil","Santos","Midfielder",22,773,5,551,1,573,141,590,2,453,1,391,0,289,0,273,101,518,1,500,1,560,0,414,3,423,10,596,6,583,3,467,2,445,2,530,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,50,150,,289,0,289,0,289,0.9900990099009901,458,,273,,273,66.66666666666666,213,60,116,,515,,74
"Matheus Babi","Brazil","Atletico Paranaense","Attacker",27,410,11,446,9,336,707,386,22,94,9,106,3,70,1,140,132,489,11,227,8,373,1,321,2,466,121,283,59,276,3,467,2,445,20,195,5,92,0,27,0,49,0,47,0,21,4,108,235.66666666666666,238,176.75,310,707,144,,58,40.909090909090914,283,7.333333333333333,143,13.636363636363635,144,33.33333333333333,124,8.333333333333332,28,11,106,132,219,66.66666666666666,213,48.760330578512395,374,141.4,466,,74
"Leonardo Paiva","Brazil","Atletico Goianiense","Goalkeeper",27,410,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Wallace","Brazil","Fluminense","Midfielder",23,686,1,660,0,623,0,709,0,564,0,491,0,289,1,140,2,696,1,500,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,1,259,,289,0,371,0,271,,58,,564,,289,,564,,491,50,2,1,265,2,272,,605,,691,,515,,74
"Foguinho","Brazil","Chapecoense-sc","Midfielder",24,608,8,499,0,623,111,610,4,387,2,314,0,289,0,273,65,570,2,449,3,493,0,414,2,466,26,510,8,561,7,373,2,445,3,490,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,50,150,,289,0,289,0,289,3.076923076923077,260,,273,,273,28.57142857142857,565,30.76923076923077,647,,515,,74
"Renan","Brazil","Palmeiras","Defender",22,773,21,251,18,202,1644,200,14,179,5,192,0,289,0,273,945,107,6,313,48,43,8,74,28,85,185,169,106,141,11,297,6,306,18,211,4,128,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,35.714285714285715,341,,289,0,289,0,289,0.6349206349206349,490,,273,,273,54.54545454545454,385,57.2972972972973,149,411,221,,74
"Vinícius Tobias","Brazil","Internacional","Defender",20,877,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Gustavo","Brazil","Sport Recife","Midfielder",22,773,27,150,21,153,1650,198,33,47,15,44,2,114,2,73,547,231,25,87,33,102,2,250,20,136,262,72,138,61,89,18,54,14,46,44,7,24,0,27,1,3,0,47,0,21,4,108,825,103,412.5,178,825,125,,58,45.45454545454545,236,16.5,24,6.0606060606060606,265,13.333333333333334,270,4.570383912248629,136,12.5,84,273.5,138,60.67415730337079,319,52.67175572519084,257,235.71428571428572,393,1650,30
"Pedro Henrique","Brazil","Atletico Paranaense","Defender",22,773,11,446,4,458,454,460,0,564,0,491,0,289,0,273,206,414,5,340,8,373,2,250,11,243,43,462,22,449,12,281,8,259,1,575,1,393,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,2.4271844660194173,318,,273,,273,66.66666666666666,213,51.162790697674424,306,454,192,,74
"Rikelme","Brazil","Cuiaba","Midfielder",21,841,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Mateusão","Brazil","Flamengo","Attacker",20,877,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"A. Hernández","Uruguay","Fluminense","Attacker",34,131,23,214,6,411,763,369,17,139,8,122,3,70,0,273,153,467,4,373,5,441,0,414,0,569,112,292,44,336,6,398,3,406,7,378,5,92,0,27,1,3,1,22,0,21,3,140,254.33333333333334,231,254.33333333333334,255,,273,100,1,47.05882352941176,220,5.666666666666667,186,17.647058823529413,99,37.5,113,2.6143790849673203,296,,273,,273,50,426,39.285714285714285,574,152.6,458,763,58
"Luizinho","Brazil","Santos","Midfielder",25,526,2,631,0,623,14,682,0,564,0,491,0,289,0,273,8,665,0,565,0,613,0,414,0,569,8,611,1,653,1,541,1,506,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,0,565,,273,,273,100,1,12.5,680,,515,,74
"Thiago Ribeiro","Brazil","Chapecoense-sc","Attacker",38,19,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Matheus Vargas","Brazil","Fortaleza EC","Midfielder",28,355,31,76,21,153,1699,186,35,40,19,26,1,172,1,140,502,251,31,51,32,108,3,194,14,203,352,22,167,24,101,11,64,8,54,29,3,181,0,27,0,49,0,47,0,21,2,194,1699,36,849.5,86,1699,46,,58,54.285714285714285,127,35,3,2.857142857142857,286,5.263157894736842,288,6.175298804780876,70,31,8,502,85,63.366336633663366,288,47.44318181818182,405,566.3333333333334,130,,74
"Lucas Crispim","Brazil","Fortaleza EC","Midfielder",30,275,26,159,23,121,1969,130,31,51,11,84,1,172,7,4,956,105,48,12,39,74,2,250,28,85,196,154,118,102,36,113,25,83,40,68,4,128,0,27,0,49,0,47,1,4,8,30,1969,25,246.125,257,281.2857142857143,242,0,47,35.483870967741936,345,31,4,3.225806451612903,285,9.090909090909092,278,5.02092050209205,116,6.857142857142857,174,136.57142857142858,216,69.44444444444444,195,60.204081632653065,113,492.25,170,,74
"Vina","Brazil","Ceara","Midfielder",33,160,34,28,26,83,2387,71,61,6,27,10,8,16,2,73,1037,87,62,4,10,338,0,414,12,226,170,199,92,190,37,106,24,93,41,60,7,24,0,27,0,49,2,12,0,21,10,20,298.375,218,238.7,266,1193.5,77,100,1,44.26229508196721,252,7.625,139,13.114754098360656,150,29.629629629629626,164,5.978784956605593,78,31,8,518.5,81,64.86486486486487,260,54.11764705882353,220,341,288,,74
"Guilherme Nunes","Brazil","Santos","Midfielder",26,473,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Jobson","Brazil","Santos","Midfielder",29,318,1,660,0,623,10,689,0,564,0,491,0,289,0,273,5,681,0,565,1,560,0,414,0,569,4,649,1,653,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,0,565,,273,,273,,605,25,661,,515,,74
"Daniel Simões","Brazil","Bahia","Midfielder",28,355,31,76,27,74,2152,99,11,228,4,226,1,172,2,73,1493,22,25,87,36,89,4,158,11,243,204,139,97,173,25,171,18,137,38,79,6,53,0,27,0,49,0,47,0,21,3,140,2152,18,717.3333333333334,106,1076,88,,58,36.36363636363637,333,11,71,9.090909090909092,211,25,173,1.6744809109176158,382,12.5,84,746.5,46,72,171,47.549019607843135,402,358.6666666666667,271,,74
"Gonzalo","Brazil","RB Bragantino","Attacker",25,526,3,606,0,623,19,671,1,504,0,491,0,289,0,273,6,674,0,565,0,613,0,414,0,569,12,583,4,603,1,541,0,580,1,575,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,0,491,,289,0,289,,491,0,565,,273,,273,0,580,33.33333333333333,632,,515,,74
"Bissoli","Brazil","Atletico Paranaense","Attacker",26,473,21,251,11,292,1008,309,18,129,12,66,3,70,0,273,195,425,14,185,5,441,2,250,2,466,120,284,35,375,13,269,7,277,3,490,2,279,0,27,0,49,1,22,0,21,3,140,336,203,336,211,,273,100,1,66.66666666666666,48,6,173,16.666666666666664,105,25,173,7.179487179487179,45,,273,,273,53.84615384615385,396,29.166666666666668,652,504,161,,74
"Alan","Brazil","Ceara","Defender",25,526,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Josiel","Brazil","Cuiaba","Attacker",25,526,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Chrigor","Brazil","America Mineiro","Attacker",24,608,5,551,3,498,257,541,8,280,4,226,0,289,0,273,34,609,2,449,3,493,0,414,1,510,42,466,12,520,7,373,2,445,3,490,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,50,150,,289,0,289,0,289,5.88235294117647,80,,273,,273,28.57142857142857,565,28.57142857142857,653,,515,,74
"Matheus Cadorini","Brazil","Internacional","Attacker",22,773,8,499,1,573,188,570,7,304,4,226,2,114,0,273,47,591,4,373,0,613,0,414,0,569,26,510,4,603,1,541,0,580,2,530,1,393,0,27,0,49,0,47,0,21,2,194,94,283,94,360,,273,,58,57.14285714285714,102,3.5,254,28.57142857142857,32,50,48,8.51063829787234,27,,273,,273,0,580,15.384615384615385,675,188,435,,74
"Renan Gomes","Brazil","America Mineiro","Midfielder",25,526,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Tiago Cóser","Brazil","Chapecoense-sc","Defender",20,877,2,631,0,623,28,659,0,564,0,491,0,289,0,273,4,686,0,565,1,560,0,414,0,569,4,649,1,653,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,0,565,,273,,273,,605,25,661,,515,,74
"Rodrigo Varanda","Brazil","Corinthians","Attacker",21,841,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Caio Hila","Brazil","Cuiaba","Defender",24,608,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Vasconcelos","Brazil","Chapecoense-sc","Defender",23,686,1,660,0,623,2,705,0,564,0,491,0,289,0,273,3,692,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,0,565,,273,,273,,605,,691,,515,,74
"Brayan","Brazil","Chapecoense-sc","Midfielder",26,473,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Murilo Rangel","Brazil","Cuiaba","Midfielder",33,160,1,660,0,623,19,671,0,564,0,491,0,289,0,273,4,686,1,500,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,25,3,,273,,273,,605,,691,,515,,74
"Fernando Caixeta","Brazil","Cuiaba","Goalkeeper",27,410,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Léo Passos","Brazil","America Mineiro","Attacker",25,526,1,660,0,623,0,709,0,564,0,491,0,289,0,273,1,700,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,0,565,,273,,273,,605,,691,,515,,74
"Luiz Fernando","Brazil","America Mineiro","Attacker",25,526,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Leandro Carvalho","Brazil","America Mineiro","Attacker",29,318,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Victor Paraíba","Brazil","Atletico Goianiense","Midfielder",26,473,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Jonas","Brazil","Bahia","Midfielder",33,160,15,365,8,359,557,427,6,330,1,391,1,172,0,273,317,344,0,565,20,211,4,158,15,187,81,358,42,343,7,373,6,306,4,453,3,181,0,27,0,49,0,47,0,21,1,259,557,150,557,133,,273,,58,16.666666666666664,470,6,173,16.666666666666664,105,100,2,0,565,,273,,273,85.71428571428571,90,51.85185185185185,283,185.66666666666666,437,,74
"Thiaguinho","Brazil","Flamengo","Attacker",23,686,2,631,0,623,19,671,0,564,0,491,0,289,0,273,15,643,3,414,1,560,0,414,0,569,3,657,2,635,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,20,4,,273,,273,,605,66.66666666666666,51,,515,,74
"Augusto Galván","Brazil","Santos","Midfielder",25,526,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Rafael Vinicius","Brazil","Sao Paulo","Midfielder",25,526,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Reginaldo","Brazil","Corinthians","Defender",23,686,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Wisney","Brazil","Fluminense","Defender",25,526,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Kelsen","Brazil","Sport Recife","Attacker",22,773,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Kawê","Brazil","America Mineiro","Attacker",22,773,1,660,0,623,4,703,2,453,2,314,0,289,0,273,5,681,0,565,0,613,0,414,0,569,3,657,2,635,1,541,0,580,1,575,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,100,1,,289,0,289,0,289,0,565,,273,,273,0,580,66.66666666666666,51,,515,,74
"Kelvin","Brazil","Juventude","Defender",24,608,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Paulo Mazoti","Brazil","Santos","Goalkeeper",24,608,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"João Victor","Brazil","Atletico Paranaense","Attacker",22,773,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Cléberson","Brazil","Internacional","Attacker",22,773,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Marcelo Ajul","Brazil","Sport Recife","Defender",22,773,1,660,0,623,14,682,0,564,0,491,0,289,0,273,8,665,0,565,0,613,0,414,0,569,3,657,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,0,565,,273,,273,,605,0,683,,515,,74
"Felipe Marques","Brazil","Cuiaba","Attacker",34,131,30,98,11,292,1260,259,16,157,10,97,2,114,2,73,405,297,25,87,13,297,2,250,18,157,160,217,79,215,40,89,24,93,27,138,1,393,0,27,1,3,0,47,0,21,4,108,630,138,315,222,630,156,,58,62.5,77,8,124,12.5,152,20,222,6.172839506172839,71,12.5,84,202.5,171,60,322,49.375,362,1260,27,1260,39
